handle,title,style,material,face_shapes,use_cases,vibes,lens_types,tags
structured-field-1990s-polo-club-sunglasses,“Structured Field” 1990s Polo Club Sunglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
measured-silence-1990s-thom-browne-sunglasses,“Measured Silence” 1990s Thom Browne Sunglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",geometric,"style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:geometric"
shadow-pilot-1990s-valentino-sunglasses,“Shadow Pilot” 1990s Valentino Sunglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
bronze-silence-1980s-givenchy-sunglasses,“Bronze Silence” 1980s Givenchy Sunglasses,oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
neon-atrium-1980s-sunglasses,“Neon Atrium” 1980s Sunglasses,oval,wire,,,"retro, modern, edgy",,"style:oval, material:wire, vibe:retro, vibe:modern, vibe:edgy"
architect-s-horizon-1970s-silhouette-sunglasses,“Architect’s Horizon” 1970s Silhouette Sunglasses,,wire,,,"retro, luxury, modern","tinted, butterfly","material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:butterfly"
golden-interval-1970s-charmant-sunglasses,“Golden Interval” 1970s Charmant Sunglasses,square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",tinted,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
stadium-drift-1980s-polo-sport-sunglasses,“Stadium Drift” 1980s Polo Sport Sunglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",tinted,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
caffe-aura-1990s-valentino-sunglasses,“Caffè Aura” 1990s Valentino Sunglasses,round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",tinted,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
gilded-dusk-1990s-ralph-lauren-sunglasses,“Gilded Dusk” 1990s Ralph Lauren Sunglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",tinted,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
steel-tide-1990s-ralph-lauren-sunglasses,“Steel Tide” 1990s Ralph Lauren Sunglasses,oval,wire,,,"retro, luxury, modern","tinted, shield","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted, lens:shield"
midnight-circuit-1980s-tura-sunglasses,“Midnight Circuit” 1980s Tura Sunglasses,oval,wire,,,"retro, luxury, modern",tinted,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
want-to-add-custom-colored-non-prescription-lenses,Want to add custom colored (non-prescription lenses)?,,,,,,rx,lens:rx
sunlit-whisper-1980s-silhouette-sunglasses,“Sunlit Whisper” 1980s Silhouette Sunglasses,oval,wire,,,"retro, luxury, modern",tinted,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
